"Station";"Abk.";"WIGOS-ID";"Wind km/h";"Windrichtung °";"Messdatum";"Messhöhe m. ü. M.";"Zusatzinformation m. ü. Boden";"KoordinatenE";"KoordinatenN";"Breitengrad";"Längengrad";"Kanton";"Link"
"Lugano";"LUG";"0-20000-0-06770";4.3;210.0;"2020-11-05 14:40";310;"37.34 m (auf 27.34 m Dach)";2717889;1095885;46.004231;8.960514;"TI";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=LUG"
"Luzern";"LUZ";"0-20000-0-06650";1.4;310.0;"2020-11-05 14:40";495;"40.92 m (auf 32.51 m Dach)";2665470;1209719;47.035278;8.300017;"LU";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=LUZ"
"Lägern";"LAE";"0-20000-0-06669";14.4;33.0;"2020-11-05 14:40";873;"28.71 m";2672251;1259460;47.481933;8.397222;"ZH";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=LAE"
"Magadino / Cadenazzo";"MAG";"0-20000-0-06762";5.8;213.0;"2020-11-05 14:40";213;"10.00 m";2715478;1113167;46.160083;8.933650;"TI";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=MAG"
"Marsens";"MAS";"0-20000-0-06640";6.8;356.0;"2020-11-05 14:40";725;"10.00 m";2571762;1167321;46.656525;7.069717;"FR";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=MAS"
"Mathod";"MAH";"0-20000-0-06618";12.2;54.0;"2020-11-05 14:40";447;"10.00 m";2533458;1176568;46.736978;6.567983;"VD";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=MAH"
"Matro";"MTR";"0-20000-0-06754";6.8;230.0;"2020-11-05 14:40";2193;"22.10 m";2714264;1140943;46.410103;8.924742;"TI";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=MTR"
"Meiringen";"MER";"0-20000-0-06637";2.2;258.0;"2020-11-05 14:40";599;"10.00 m";2655844;1175930;46.732222;8.169247;"BE";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=MER"
"Montagnier, Bagnes";"MOB";"0-20000-0-06615";1.8;186.0;"2020-11-05 14:40";849;"10.00 m";2583491;1102189;46.071019;7.225272;"VS";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=MOB"
"Montana";"MVE";"0-20000-0-06724";5.8;242.0;"2020-11-05 14:40";1433;"10.00 m";2601705;1127492;46.298831;7.460769;"VS";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=MVE"
"Monte Generoso";"GEN";"0-20000-0-06777";13.0;156.0;"2020-11-05 14:40";1610;"10.00 m";2722503;1087455;45.927592;9.017875;"TI";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=GEN"
"Monte Rosa-Plattje";"MRP";"0-20000-0-06747";6.8;129.0;"2020-11-05 14:40";2892;"6.50 m";2629148;1089520;45.956628;7.814575;"VS";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=MRP"
"Mosen";"MOA";"0-20000-0-06644";9.0;41.0;"2020-11-05 14:40";462;"10.00 m";2660128;1232851;47.243842;8.232828;"LU";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=MOA"
"Mottec";"MTE";"0-20000-0-06716";2.5;197.0;"2020-11-05 14:40";1590;"10.00 m";2614323;1110736;46.147953;7.624019;"VS";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=MTE"
"Möhlin";"MOE";"0-20000-0-06641";10.4;127.0;"2020-11-05 14:40";354;"10.00 m";2633054;1269147;47.572197;7.877911;"AG";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=MOE"
"Mühleberg / Stockeren";"MSK";"0-20000-0-06629";15.8;60.0;"2020-11-05 14:40";783;"77.00 m";2588150;1200125;46.952103;7.282972;"BE";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=MSK"
"Mühleberg";"MUB";"0-20000-0-06636";5.4;85.0;"2020-11-05 14:40";490;"10.00 m";2587791;1202483;46.973303;7.278189;"BE";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=MUB"
"Naluns / Schlivera";"NAS";"0-20000-0-06799";5.4;61.0;"2020-11-05 14:40";2390;"10.00 m";2815375;1188987;46.817164;10.261400;"GR";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=NAS"
"Napf";"NAP";"0-20000-0-06639";9.4;11.0;"2020-11-05 14:40";1419;"15.00 m";2638130;1206083;47.004706;7.940017;"BE";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=NAP"
"Neuchâtel";"NEU";"0-20000-0-06604";17.6;74.0;"2020-11-05 14:40";505;"21.64 m";2563086;1205561;47.000078;6.953283;"NE";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=NEU"
"Nyon / Changins";"CGI";"0-20000-0-06705";22.0;40.0;"2020-11-05 14:40";468;"10.00 m";2506876;1139580;46.401114;6.227700;"VD";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=CGI"
"Oberriet / Kriessern";"OBR";"0-20000-0-06649";2.2;296.0;"2020-11-05 14:40";419;"10.00 m";2764171;1249582;47.376608;9.612706;"SG";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=OBR"
"Oberägeri";"AEG";"0-20000-0-06676";5.4;27.0;"2020-11-05 14:40";734;"10.00 m";2688729;1220956;47.133636;8.608206;"ZG";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=AEG"
"Oron";"ORO";"0-20000-0-06708";15.5;39.0;"2020-11-05 14:40";837;"10.00 m";2555505;1158052;46.572264;6.858239;"VD";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=ORO"
"Passo del Bernina";"BEH";"0-20000-0-06797";1.8;236.0;"2020-11-05 14:40";2281;"20.50 m";2798423;1143020;46.409158;10.019567;"GR";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=BEH"
"Payerne";"PAY";"0-20000-0-06610";11.5;27.0;"2020-11-05 14:40";499;"10.00 m";2562129;1184618;46.811642;6.942450;"VD";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=PAY"
"Pilatus";"PIL";"0-20000-0-06659";14.4;57.0;"2020-11-05 14:40";2126;"7.57 m";2662210;1203450;46.979200;8.256272;"OW";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=PIL"
"Piotta";"PIO";"0-20000-0-06753";2.5;267.0;"2020-11-05 14:40";1000;"10.00 m";2695883;1152266;46.514828;8.688067;"TI";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=PIO"
"Piz Corvatsch";"COV";"0-20000-0-06791";9.7;81.0;"2020-11-05 14:40";3319;"24.67 m (auf 18.17 m Dach)";2783156;1143524;46.418039;9.821308;"GR";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=COV"
"Piz Martegnas";"PMA";"0-20000-0-06795";2.2;246.0;"2020-11-05 14:40";2680;"10.00 m";2760262;1160570;46.577181;9.529544;"GR";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=PMA"
"Plaffeien";"PLF";"0-20000-0-06628";6.1;50.0;"2020-11-05 14:40";1052;"10.00 m";2586830;1177409;46.747742;7.266289;"FR";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=PLF"
"Poschiavo / Robbia";"ROB";"0-20000-0-06794";7.9;215.0;"2020-11-05 14:40";1088;"10.00 m";2801992;1136253;46.347256;10.063011;"GR";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=ROB"
"Pully";"PUY";"0-20000-0-06711";10.8;22.0;"2020-11-05 14:40";466;"10.00 m";2540817;1151514;46.512308;6.667494;"VD";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=PUY"
"Quinten";"QUI";"0-20000-0-06687";7.6;94.0;"2020-11-05 14:40";429;"10.00 m";2734849;1221278;47.128739;9.216050;"SG";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=QUI"
"Robièi";"ROE";"0-20000-0-06751";4.0;212.0;"2020-11-05 14:40";1910;"12.00 m";2682588;1144091;46.443067;8.513389;"TI";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=ROE"
"Rünenberg";"RUE";"0-20000-0-06645";11.5;62.0;"2020-11-05 14:40";621;"10.00 m";2633247;1253851;47.434611;7.879336;"BL";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=RUE"
"S. Bernardino";"SBE";"0-20000-0-06783";4.7;227.0;"2020-11-05 14:40";1655;"24.70 m";2734223;1147255;46.463172;9.186078;"GR";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=SBE"
"Salen-Reutenen";"HAI";"0-20000-0-06623";13.7;50.0;"2020-11-05 14:40";728;"10.00 m";2719100;1279046;47.651236;9.023911;"TG";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=HAI"
"Samedan";"SAM";"0-20000-0-06792";15.8;25.0;"2020-11-05 14:40";1718;"10.00 m";2787249;1155691;46.526308;9.879450;"GR";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=SAM"
"Sattel, SZ";"SAG";"0-20000-0-06662";5.0;228.0;"2020-11-05 14:40";800;"10.00 m";2691000;1215145;47.081064;8.636967;"SZ";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=SAG"
"Schaffhausen";"SHA";"0-20000-0-06620";13.0;62.0;"2020-11-05 14:40";576;"53.00 m";2688172;1283072;47.692325;8.613114;"SH";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=SHA"
"Schiers";"SRS";"0-20000-0-06790";11.2;293.0;"2020-11-05 14:40";636;"10.00 m";2769618;1205125;46.975506;9.668075;"GR";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=SRS"
"Schmerikon";"SCM";"0-20000-0-06683";5.8;246.0;"2020-11-05 14:40";418;"10.00 m";2713723;1231496;47.224597;8.940244;"SG";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=SCM"
"Schüpfheim";"SPF";"0-20000-0-06651";14.4;26.0;"2020-11-05 14:40";754;"10.00 m";2643685;1199710;46.947036;8.012442;"LU";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=SPF"
"Scuol";"SCU";"0-20000-0-06798";7.9;71.0;"2020-11-05 14:40";1314;"10.00 m";2817136;1186397;46.793308;10.283228;"GR";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=SCU"
"Segl-Maria";"SIA";"0-20000-0-06779";13.3;244.0;"2020-11-05 14:40";1823;"17.57 m (auf 7.57 m Dach)";2778546;1144896;46.431614;9.761906;"GR";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=SIA"
"Simplon-Dorf";"SIM";"0-20000-0-06654";2.9;272.0;"2020-11-05 14:40";1487;"10.00 m";2647593;1116358;46.196994;8.055172;"VS";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=SIM"
"Sion";"SIO";"0-20000-0-06720";13.0;251.0;"2020-11-05 14:40";491;"10.00 m";2591631;1118591;46.218708;7.330181;"VS";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=SIO"
"St-Prex";"PRE";"0-20000-0-06706";18.0;37.0;"2020-11-05 14:40";435;"10.00 m";2523549;1148526;46.483683;6.443000;"VD";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=PRE"
"St. Chrischona";"STC";"0-20000-0-06600";4.0;3.0;"2020-11-05 14:40";725;"232.00 m";2618696;1269037;47.571767;7.687094;"BS";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=STC"
"St. Gallen";"STG";"0-20000-0-06681";4.3;43.0;"2020-11-05 14:40";802;"16.31 m (auf 6.31 m Dach)";2747734;1254457;47.424328;9.396731;"SG";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=STG"
"Sta. Maria, Val Müstair";"SMM";"0-20000-0-06796";6.1;53.0;"2020-11-05 14:40";1396;"10.00 m";2828862;1165580;46.602256;10.426306;"GR";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=SMM"
"Stabio";"SBO";"0-20000-0-06771";4.3;204.0;"2020-11-05 14:40";361;"10.00 m";2716066;1077969;45.843417;8.932592;"TI";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=SBO"
"Steckborn";"STK";"0-20000-0-06671";24.8;45.0;"2020-11-05 14:40";408;"10.00 m";2715872;1280916;47.668625;8.981439;"TG";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=STK"
"Säntis";"SAE";"0-20000-0-06680";0.4;53.0;"2020-11-05 14:40";2513;"10.69 m";2744173;1234914;47.249394;9.343272;"AI";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=SAE"
"Thun";"THU";"0-20000-0-06731";3.6;210.0;"2020-11-05 14:40";580;"10.00 m";2611201;1177640;46.749853;7.585222;"BE";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=THU"
"Titlis";"TIT";"0-20000-0-06740";1.4;136.0;"2020-11-05 14:40";3102;"62.00 m (auf 50.00 m Dach)";2675401;1180400;46.770506;8.425814;"OW";"https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-windgeschwindigkeit-kmh-10min&station=TIT"
